,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Not started","Education,Out of school youth","Education,Out of school youth,female","Education,Out of school youth,male","Education,Post baccalaureate","Education,Postsecondary","Education,Preschool","Education,Special education"
296,125.67,7.28683,01/11/2017,"Wed - Nov 1, 2017",17:30:00,THEFT,J.P. Laurel,Panabo City,Salisi,urban,8.93,599,524,825,"1,851",20,1,241,154,88,6,116,0,1
297,125.803,7.44227,02/11/2017,"Thu - Nov 2, 2017",0:00:00,PHYSICAL INJURIES,Magugpo South,Tagum City,Shooting,urban,8.33,"1,345","1,034","1,203","2,756",36,0,401,258,145,24,301,1,1
298,125.823,7.43505,02/11/2017,"Thu - Nov 2, 2017",3:00:00,ROBBERY,Apokon,Tagum City,Breaking and Entering,urban,22.88,"3,694","2,838","3,302","7,567",100,0,1100,708,398,65,826,2,3
299,125.824,7.43078,02/11/2017,"Thu - Nov 2, 2017",5:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"3,694","2,838","3,302","7,567",100,0,1100,708,398,65,826,2,3
300,125.8,7.46088,02/11/2017,"Thu - Nov 2, 2017",9:30:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Mauling,urban,10.74,"1,735","1,333","1,551","3,553",47,0,517,332,187,30,388,1,1
301,125.816,7.43582,02/11/2017,"Thu - Nov 2, 2017",3:00:00,ROBBERY,Apokon,Tagum City,Destroying Window,urban,22.88,"3,694","2,838","3,302","7,567",100,0,1100,708,398,65,826,2,3
302,125.68,7.30922,02/11/2017,"Thu - Nov 2, 2017",6:30:00,ROBBERY,San Francisco (Pob.),Panabo City, in an Inhabited House or Edifice for Worship and Private Building,urban,17.46,"1,172","1,024","1,614","3,620",38,2,471,301,172,11,226,0,2
303,125.816,7.451919999999999,02/11/2017,"Thu - Nov 2, 2017",11:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo East,Tagum City,Swpu (Stolen While Parked),urban,11.1,"1,792","1,377","1,602","3,671",49,0,534,343,193,31,401,1,1
304,125.686,7.3056,04/11/2017,"Sat - Nov 4, 2017",19:40:00,THEFT,Santo Niño (Pob.),Panabo City,Shoplifting,urban,5.89,396,346,545,"1,222",13,1,159,101,58,4,76,0,1
305,125.79899999999999,7.44005,04/11/2017,"Sat - Nov 4, 2017",4:30:00,THEFT,Magugpo South,Tagum City,Salisi,urban,8.33,"1,345","1,034","1,203","2,756",36,0,401,258,145,24,301,1,1
306,125.78399999999999,7.458310000000001,05/11/2017,"Sun - Nov 5, 2017",1:30:00,THEFT,Mankilam,Tagum City,Salisi (Akyat Bahay),urban,29.97,"4,839","3,718","4,326","9,913",131,0,1441,927,521,85,"1,082",2,4
307,125.811,7.44482,05/11/2017,"Sun - Nov 5, 2017",13:35:00,THEFT,Apokon,Tagum City,Plain Theft,urban,22.88,"3,694","2,838","3,302","7,567",100,0,1100,708,398,65,826,2,3
308,125.79899999999999,7.46073,05/11/2017,"Sun - Nov 5, 2017",0:50:00,THEFT,Magugpo West,Tagum City,Salisi,urban,10.74,"1,735","1,333","1,551","3,553",47,0,517,332,187,30,388,1,1
