,lng,lat,date,customdate,time,crime,barangay,city,modus,weathertime,time_bin,day,Region_x,Date,Time,Weather,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Direction,Cloud %,Humidity %,Precip (mm),Pressure (mb),Sunrise,Sunset,day or night
623,125.69200000000001,7.13537,13/03/2018,"Tue - Mar 13, 2018",22:22:00,THEFT,Miranda (Pob.),Samal City,Not Indicated,21:00,22:00 - 22:59,Tuesday,Samal City,13/03/2018,21:00,Partly cloudy,28,28,19,NNW,24%,79%,0.0,"1,011",5:45 AM,5:49 PM,night
624,125.78399999999999,7.456410000000001,16/03/2018,"Fri - Mar 16, 2018",8:40:00,MURDER,Mankilam,Tagum City,Shooting,6:00,08:00 - 08:59,Friday,Tagum City,16/03/2018,6:00,Partly cloudy,31,27,4,SE,6%,83%,0.0,"1,011",5:44 AM,5:49 PM,day
625,125.80799999999999,7.4451600000000004,16/03/2018,"Fri - Mar 16, 2018",17:45:00,THEFT,Visayan Village,Tagum City,Shoplifting,15:00,17:00 - 17:59,Friday,Tagum City,16/03/2018,15:00,Patchy rain possible,34,38,6,NNE,31%,47%,0.0,"1,009",5:44 AM,5:49 PM,day
626,125.772,7.39841,16/03/2018,"Fri - Mar 16, 2018",22:40:00,Drug Related Incident (RA 9165),San Isidro,Tagum City,Not Indicated,21:00,22:00 - 22:59,Friday,Tagum City,16/03/2018,21:00,Partly cloudy,29,32,5,NNE,11%,79%,0.0,"1,011",5:44 AM,5:49 PM,night
627,125.772,7.39843,17/03/2018,"Sat - Mar 17, 2018",1:30:00,Drug Related Incident (RA 9165),San Isidro,Tagum City,Not Indicated,0:00,01:00 - 01:59,Saturday,Tagum City,17/03/2018,0:00,Partly cloudy,27,29,4,N,13%,89%,0.0,"1,012",5:43 AM,5:49 PM,night
628,125.802,7.4592,18/03/2018,"Sun - Mar 18, 2018",4:00:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Hacking,3:00,04:00 - 04:59,Sunday,Tagum City,18/03/2018,3:00,Mist,28,25,6,N,38%,94%,0.0,"1,011",5:43 AM,5:48 PM,night
629,125.678,7.31658,20/03/2018,"Tue - Mar 20, 2018",18:40:00,Drug Related Incident (RA 9165),San Francisco (Pob.),Panabo City,Not Indicated,18:00,18:00 - 18:59,Tuesday,Panabo City,20/03/2018,18:00,Partly cloudy,31,32,4,SSE,68%,65%,0.5,"1,009",5:42 AM,5:48 PM,night
630,125.772,7.441730000000001,21/03/2018,"Wed - Mar 21, 2018",2:20:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,San Miguel (Camp 4),Tagum City,Swpu (Stolen While Parked),0:00,02:00 - 02:59,Wednesday,Tagum City,21/03/2018,0:00,Patchy rain possible,27,27,5,N,74%,87%,0.2,"1,010",5:42 AM,5:48 PM,night
631,125.79899999999999,7.435389999999999,20/03/2018,"Tue - Mar 20, 2018",23:15:00,Drug Related Incident (RA 9165),Visayan Village,Tagum City,Not Indicated,21:00,23:00 - 23:59,Tuesday,Tagum City,20/03/2018,21:00,Patchy rain possible,28,28,5,SE,73%,84%,1.8,"1,010",5:42 AM,5:48 PM,night
632,125.79799999999999,7.43573,20/03/2018,"Tue - Mar 20, 2018",21:47:00,PHYSICAL INJURIES,Visayan Village,Tagum City,Shooting,21:00,21:00 - 21:59,Tuesday,Tagum City,20/03/2018,21:00,Patchy rain possible,28,28,5,SE,73%,84%,1.8,"1,010",5:42 AM,5:48 PM,night
